block,block_label,comparator,comparator_label,avg_stability,avg_burden,avg_value,avg_regret
block2_coupling,B2,casp_lambda_0.050,CASP 0.05,0.1349206349206349,13.767263325589273,0.656773137102688,0.11026665235446877
block2_coupling,B2,dr_lcb_beta_0.50,DR-LCB 0.50,0.1388888888888889,13.972016470644368,0.6562257718881982,0.11081401756895856
block2_coupling,B2,dr_value_only,DR value only,0.1388888888888889,14.01072617496503,0.6558321931928709,0.11120759626428603
block2_coupling,B2,ma_style_two_stage_opl,Ma-style OPL,0.027777777777777773,14.634684069372968,0.6532016501337681,0.11383813932338875
block3_support,B3,casp_lambda_0.050,CASP 0.05,0.1111111111111111,21.017699398333924,0.7571640580864204,0.10070097598360632
block3_support,B3,dr_lcb_beta_0.50,DR-LCB 0.50,0.1527777777777778,29.03306859468746,0.7645103080640809,0.09335472600594569
block3_support,B3,dr_value_only,DR value only,0.1701388888888889,30.182423493122627,0.7649312289606623,0.09293380510936432
block3_support,B3,ma_style_two_stage_opl,Ma-style OPL,0.05208333333333333,38.441362769013665,0.7722473202043375,0.08561771386568919
block4_large_action,B4,casp_lambda_0.050,CASP 0.05,0.10416666666666666,51.64261957444825,0.7323698067535903,0.13580108600530527
block4_large_action,B4,dr_lcb_beta_0.50,DR-LCB 0.50,0.16666666666666666,58.4740196630959,0.7335489028821978,0.13462198987669785
block4_large_action,B4,dr_value_only,DR value only,0.15625,57.861004099306115,0.7321383121994718,0.13603258055942377
block4_large_action,B4,ma_style_two_stage_opl,Ma-style OPL,0.041666666666666664,73.96897143135908,0.7383115511829806,0.1298593415759149
block5_sample_size,B5,casp_lambda_0.050,CASP 0.05,0.14583333333333334,20.664171292979415,0.712539542248671,0.11241182066074734
block5_sample_size,B5,dr_lcb_beta_0.50,DR-LCB 0.50,0.1875,22.580417502037744,0.7158813610128125,0.10907000189660576
block5_sample_size,B5,dr_value_only,DR value only,0.18055555555555555,23.02425319712401,0.7175567604541819,0.10739460245523642
block5_sample_size,B5,ma_style_two_stage_opl,Ma-style OPL,0.0625,27.867543830045875,0.7225913994563385,0.1023599634530798
