block,block_label,comparator,comparator_label,avg_value,avg_regret,avg_burden
block2_coupling,B2,casp_lambda_0.050,CASP 0.05,0.656773137102688,0.11026665235446877,13.767263325589273
block2_coupling,B2,dr_lcb_beta_0.50,DR-LCB 0.50,0.6562257718881982,0.11081401756895856,13.972016470644368
block2_coupling,B2,dr_value_only,DR value only,0.6558321931928709,0.11120759626428603,14.01072617496503
block2_coupling,B2,ma_style_two_stage_opl,Ma-style OPL,0.6532016501337681,0.11383813932338875,14.634684069372968
block3_support,B3,casp_lambda_0.050,CASP 0.05,0.7571640580864204,0.10070097598360632,21.017699398333924
block3_support,B3,dr_lcb_beta_0.50,DR-LCB 0.50,0.7645103080640809,0.09335472600594569,29.03306859468746
block3_support,B3,dr_value_only,DR value only,0.7649312289606623,0.09293380510936432,30.182423493122627
block3_support,B3,ma_style_two_stage_opl,Ma-style OPL,0.7722473202043375,0.08561771386568919,38.441362769013665
block4_large_action,B4,casp_lambda_0.050,CASP 0.05,0.7323698067535903,0.13580108600530527,51.64261957444825
block4_large_action,B4,dr_lcb_beta_0.50,DR-LCB 0.50,0.7335489028821978,0.13462198987669785,58.4740196630959
block4_large_action,B4,dr_value_only,DR value only,0.7321383121994718,0.13603258055942377,57.861004099306115
block4_large_action,B4,ma_style_two_stage_opl,Ma-style OPL,0.7383115511829806,0.1298593415759149,73.96897143135908
block5_sample_size,B5,casp_lambda_0.050,CASP 0.05,0.712539542248671,0.11241182066074734,20.664171292979415
block5_sample_size,B5,dr_lcb_beta_0.50,DR-LCB 0.50,0.7158813610128125,0.10907000189660576,22.580417502037744
block5_sample_size,B5,dr_value_only,DR value only,0.7175567604541819,0.10739460245523642,23.02425319712401
block5_sample_size,B5,ma_style_two_stage_opl,Ma-style OPL,0.7225913994563385,0.1023599634530798,27.867543830045875
